Position,Value
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,0.1186821969423726
1,1.2189147514308094e-05
2,1.2189147514308092e-05
0,0.023161685437298674
1,6.057768249987672e-07
2,9.794619207172168e-12
3,1.3206705796749044e-16
4,1.694345966248547e-21
5,4.0910477056443793e-26
6,9.58680695758333e-31
7,1.1081508503877899e-35
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,2.6006544351522542e-49
11,2.858027156722945e-54
12,1.232003875018313e-58
13,2.680272682550546e-63
14,2.8889046568899227e-68
15,1.2335807258817263e-72
16,5.254268058178036e-77
17,5.590324846357001e-82
18,5.933357683249372e-87
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,0.08961784234362256
1,0.0010760972286583527
2,5.664551044386906e-08
3,2.9080028542852584e-07
4,4.6354467042954654e-12
5,6.212769838147307e-17
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,0.1186821969423726
1,1.2189147514308094e-05
2,1.2189147514308092e-05
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,5.940109486304694e-25
5,7.065695101330439e-30
6,1.8331066872645262e-34
7,2.087925084636823e-39
8,2.346546782786647e-44
9,2.600654435152255e-49
10,1.124735431989019e-53
11,1.2278826617521233e-58
12,1.3308843403481538e-63
13,5.677661336415364e-68
14,1.2233285045764428e-72
15,1.3068036772739255e-77
16,5.541561520444816e-82
17,2.3457463815448425e-86
18,2.4800726860578824e-91
19,2.6174549987762755e-96
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
12,9.097097226597502e-63
13,1.970011826429715e-67
14,2.1143522283979465e-72
15,8.998853117412169e-77
16,3.821743124614665e-81
17,4.054139857627075e-86
18,4.2915659099634557e-91
0,3.2858522120210103e-06
1,5.371249256558585e-11
2,8.607502537610305e-16
3,2.177156602482135e-20
4,2.2774798973350045e-24
5,2.7168625291856663e-29
6,3.1574799731140213e-34
7,3.60406538434122e-39
8,4.0438801541566455e-44
9,1.7645766064641244e-48
10,1.9428360597839698e-53
11,2.1209165120650593e-58
